
null
cycle: 1; minSize: 0.056519741693881; maxSize: 0.19800082331664598; meanSize: 0.11733589998354534
cycle: 2; minSize: 0.07926717541325469; maxSize: 0.238000823316646; meanSize: 0.1533710278041912
cycle: 3; minSize: 0.1017671754132547; maxSize: 0.298000823316646; meanSize: 0.2080414327357738
cycle: 4; minSize: 0.1317671754132547; maxSize: 0.37800082331664603; meanSize: 0.2822537357062814
cycle: 5; minSize: 0.1692671754132547; maxSize: 0.47800082331664606; meanSize: 0.3744717735460805
cycle: 6; minSize: 0.21426717541325468; maxSize: 0.5980008233166461; meanSize: 0.48367724247059457
cycle: 7; minSize: 0.2667671754132547; maxSize: 0.7380008233166461; meanSize: 0.6139816621662244
cycle: 8; minSize: 0.3292671754132547; maxSize: 0.8980008233166461; meanSize: 0.7713861878023203
cycle: 9; minSize: 0.4042671754132547; maxSize: 1.078000823316646; meanSize: 0.9442709168305113
cycle: 10; minSize: 0.4792671754132547; maxSize: 1.278000823316646; meanSize: 1.1286447449129118
cycle: 11; minSize: 0.5667671754132547; maxSize: 1.498000823316646; meanSize: 1.3414527210028653
cycle: 12; minSize: 0.6667671754132547; maxSize: 1.738000823316646; meanSize: 1.5628661747331127
cycle: 13; minSize: 0.8150306231748644; maxSize: 1.998000823316646; meanSize: 1.8050849465653231
cycle: 14; minSize: 0.9200306231748645; maxSize: 2.278000823316646; meanSize: 2.0739736177323644
cycle: 15; minSize: 1.0325306231748645; maxSize: 2.578000823316646; meanSize: 2.356685402328927
cycle: 16; minSize: 1.1525306231748647; maxSize: 2.8980008233166457; meanSize: 2.6559366958822586
cycle: 17; minSize: 1.2800306231748646; maxSize: 3.2380008233166455; meanSize: 2.96265206055187
cycle: 18; minSize: 1.8292671754132548; maxSize: 3.5980008233166454; meanSize: 3.3472281931708223
cycle: 19; minSize: 2.066767175413255; maxSize: 3.9780008233166453; meanSize: 3.7063696496654197
cycle: 20; minSize: 2.316767175413255; maxSize: 4.378000823316645; meanSize: 4.087138880434649
cycle: 21; minSize: 2.5792671754132552; maxSize: 4.798000823316645; meanSize: 4.5204006396130865
cycle: 22; minSize: 2.854267175413255; maxSize: 5.2380008233166455; meanSize: 4.9313231527109
cycle: 23; minSize: 3.1417671754132552; maxSize: 5.6980008233166455; meanSize: 5.41060431402498
cycle: 24; minSize: 3.4417671754132555; maxSize: 6.178000823316646; meanSize: 5.867194545566623
cycle: 25; minSize: 3.7542671754132555; maxSize: 6.678000823316646; meanSize: 6.305411465813204
cycle: 26; minSize: 4.079267175413255; maxSize: 7.198000823316646; meanSize: 6.802911465813205
cycle: 27; minSize: 4.416767175413256; maxSize: 7.738000823316646; meanSize: 7.319546081197819
cycle: 28; minSize: 4.766767175413256; maxSize: 8.298000823316647; meanSize: 7.824306737172854
cycle: 29; minSize: 5.129267175413256; maxSize: 8.878000823316647; meanSize: 8.377119237172854
cycle: 30; minSize: 5.504267175413256; maxSize: 9.478000823316647; meanSize: 8.931922803079935
cycle: 31; minSize: 0.022621036983343806; maxSize: 9.974608078023918; meanSize: 0.6564639100906547
cycle: 32; minSize: 0.05242259023205777; maxSize: 6.725325535036671; meanSize: 0.8700559765529351
cycle: 33; minSize: 0.712422590232058; maxSize: 7.137825535036671; meanSize: 1.534477386462266
cycle: 34; minSize: 1.3924225902320582; maxSize: 7.513520441445922; meanSize: 2.1401354081587165
cycle: 35; minSize: 2.0924225902320583; maxSize: 7.951020441445922; meanSize: 2.83807612913804
cycle: 36; minSize: 2.8124225902320585; maxSize: 8.401020441445922; meanSize: 3.554243742132056
cycle: 37; minSize: 3.5524225902320588; maxSize: 8.863520441445923; meanSize: 4.2890254794748754
cycle: 38; minSize: 4.312422590232059; maxSize: 9.338520441445922; meanSize: 5.041022325257575
cycle: 39; minSize: 5.09242259023206; maxSize: 9.826020441445923; meanSize: 5.812631245836599
cycle: 40; minSize: 0.06188685776058222; maxSize: 9.941767175413258; meanSize: 5.9788536319975165
cycle: 41; minSize: 0.07948167727680647; maxSize: 7.475273587487385; meanSize: 6.108942332403107
cycle: 42; minSize: 0.6044816772768066; maxSize: 8.315273587487384; meanSize: 6.858221574903376
cycle: 43; minSize: 1.1419816772768066; maxSize: 9.175273587487386; meanSize: 7.562470157513153
