x,y,dist,ffreq,part.a,part.b
586500,1090500,0,0,0,0
580500,1091500,0,0,0,0
579500,1092500,0,0,0,0
562500,1061500,0,0,0,0
561500,1084500,0,0,0,0
561500,1094500,0,0,0,0
553500,1087500,0,0,0,0
561500,1063500,0,0,0,0
563500,1064500,0,0,0,0
572500,1093500,0,0,0,0
582500,1098500,0,0,0,0
572500,1088500,0,0,0,0
563500,1078500,0,0,0,0
565500,1090500,0,0,0,0
552500,1085500,0,0,0,0
582500,1081500,0,0,0,0
554500,1073500,0,0,0,0
547500,1083500,0,0,0,0
540500,1068500,0,0,0,0
545500,1077500,0,0,0,0
560500,1075500,0,0,0,0
555500,1073500,0,0,0,0
571500,1071500,0,0,0,0
569500,1076500,0,0,0,0
547500,1068500,0,0,0,0
579500,1084500,0,0,0,0
572500,1091500,0,0,0,0
557500,1075500,0,0,0,0
546500,1061500,0,0,0,0
567500,1091500,0,0,0,0
563500,1097500,0,0,0,0
556500,1088500,0,0,0,0
557500,1067500,0,0,0,0
584500,1075500,0,0,0,0
552500,1064500,0,0,0,0
586500,1073500,0,0,0,0
561500,1073500,0,0,0,0
549500,1074500,0,0,0,0
584500,1077500,0,0,0,0
574500,1072500,0,0,0,0
569500,1092500,0,0,0,0
544500,1079500,0,0,0,0
553500,1069500,0,0,0,0
578500,1077500,0,0,0,0
580500,1097500,0,0,0,0
554500,1068500,0,0,0,0
561500,1078500,0,0,0,0
563500,1086500,0,0,0,0
567500,1073500,0,0,0,0
585500,1094500,0,0,0,0
577500,1099500,0,0,0,0
560500,1060500,0,0,0,0
562500,1082500,0,0,0,0
547500,1063500,0,0,0,0
570500,1090500,0,0,0,0
541500,1059500,0,0,0,0
572500,1087500,0,0,0,0
566500,1087500,0,0,0,0
572500,1081500,0,0,0,0
542500,1062500,0,0,0,0
559500,1071500,0,0,0,0
565500,1065500,0,0,0,0
572500,1071500,0,0,0,0
577500,1091500,0,0,0,0
573500,1089500,0,0,0,0
557500,1059500,0,0,0,0
572500,1101500,0,0,0,0
561500,1066500,0,0,0,0
560500,1085500,0,0,0,0
562500,1063500,0,0,0,0
576500,1098500,0,0,0,0
578500,1100500,0,0,0,0
564500,1080500,0,0,0,0
566500,1100500,0,0,0,0
557500,1080500,0,0,0,0
595500,1100500,0,0,0,0
557500,1061500,0,0,0,0
592500,1096500,0,0,0,0
565500,1091500,0,0,0,0
572500,1094500,0,0,0,0
551500,1075500,0,0,0,0
568500,1088500,0,0,0,0
594500,1097500,0,0,0,0
562500,1062500,0,0,0,0
563500,1104500,0,0,0,0
564500,1089500,0,0,0,0
565500,1082500,0,0,0,0
566500,1081500,0,0,0,0
591500,1089500,0,0,0,0
571500,1102500,0,0,0,0
574500,1073500,0,0,0,0
554500,1085500,0,0,0,0
576500,1078500,0,0,0,0
569500,1089500,0,0,0,0
563500,1094500,0,0,0,0
561500,1065500,0,0,0,0
565500,1086500,0,0,0,0
561500,1088500,0,0,0,0
580500,1081500,0,0,0,0
573500,1068500,0,0,0,0
566500,1098500,0,0,0,0
560500,1067500,0,0,0,0
555500,1084500,0,0,0,0
577500,1072500,0,0,0,0
583500,1075500,0,0,0,0
587500,1095500,0,0,0,0
566500,1084500,0,0,0,0
560500,1101500,0,0,0,0
555500,1082500,0,0,0,0
571500,1098500,0,0,0,0
563500,1090500,0,0,0,0
547500,1085500,0,0,0,0
563500,1077500,0,0,0,0
591500,1094500,0,0,0,0
569500,1079500,0,0,0,0
572500,1097500,0,0,0,0
559500,1093500,0,0,0,0
548500,1085500,0,0,0,0
592500,1092500,0,0,0,0
