x,y,dist,ffreq,part.a,part.b
526467,997400,0,0,0,0
528401,997400,0,0,0,0
530335,997400,0,0,0,0
532269,997400,0,0,0,0
534203,997400,0,0,0,0
536137,997400,0,0,0,0
538071,997400,0,0,0,0
540005,997400,0,0,0,0
541939,997400,0,0,0,0
543873,997400,0,0,0,0
545807,997400,0,0,0,0
547741,997400,0,0,0,0
549675,997400,0,0,0,0
551609,997400,0,0,0,0
553543,997400,0,0,0,0
555477,997400,0,0,0,0
557411,997400,0,0,0,0
559345,997400,0,0,0,0
561279,997400,0,0,0,0
563213,997400,0,0,0,0
565147,997400,0,0,0,0
567081,997400,0,0,0,0
569015,997400,0,0,0,0
570949,997400,0,0,0,0
572883,997400,0,0,0,0
574817,997400,0,0,0,0
576751,997400,0,0,0,0
578685,997400,0,0,0,0
580619,997400,0,0,0,0
582553,997400,0,0,0,0
584487,997400,0,0,0,0
586421,997400,0,0,0,0
588355,997400,0,0,0,0
590289,997400,0,0,0,0
592223,997400,0,0,0,0
594157,997400,0,0,0,0
596091,997400,0,0,0,0
598025,997400,0,0,0,0
599959,997400,0,0,0,0
601893,997400,0,0,0,0
603827,997400,0,0,0,0
605761,997400,0,0,0,0
607695,997400,0,0,0,0
609629,997400,0,0,0,0
611563,997400,0,0,0,0
613497,997400,0,0,0,0
615431,997400,0,0,0,0
617365,997400,0,0,0,0
619299,997400,0,0,0,0
621233,997400,0,0,0,0
623167,997400,0,0,0,0
625101,997400,0,0,0,0
627035,997400,0,0,0,0
628969,997400,0,0,0,0
630903,997400,0,0,0,0
632837,997400,0,0,0,0
634771,997400,0,0,0,0
636705,997400,0,0,0,0
638639,997400,0,0,0,0
640573,997400,0,0,0,0
526467,999200,0,0,0,0
528401,999200,0,0,0,0
530335,999200,0,0,0,0
532269,999200,0,0,0,0
534203,999200,0,0,0,0
536137,999200,0,0,0,0
538071,999200,0,0,0,0
540005,999200,0,0,0,0
541939,999200,0,0,0,0
543873,999200,0,0,0,0
545807,999200,0,0,0,0
547741,999200,0,0,0,0
549675,999200,0,0,0,0
551609,999200,0,0,0,0
553543,999200,0,0,0,0
555477,999200,0,0,0,0
557411,999200,0,0,0,0
559345,999200,0,0,0,0
561279,999200,0,0,0,0
563213,999200,0,0,0,0
565147,999200,0,0,0,0
567081,999200,0,0,0,0
569015,999200,0,0,0,0
570949,999200,0,0,0,0
572883,999200,0,0,0,0
574817,999200,0,0,0,0
576751,999200,0,0,0,0
578685,999200,0,0,0,0
580619,999200,0,0,0,0
582553,999200,0,0,0,0
584487,999200,0,0,0,0
586421,999200,0,0,0,0
588355,999200,0,0,0,0
590289,999200,0,0,0,0
592223,999200,0,0,0,0
594157,999200,0,0,0,0
596091,999200,0,0,0,0
598025,999200,0,0,0,0
599959,999200,0,0,0,0
601893,999200,0,0,0,0
603827,999200,0,0,0,0
605761,999200,0,0,0,0
607695,999200,0,0,0,0
609629,999200,0,0,0,0
611563,999200,0,0,0,0
613497,999200,0,0,0,0
615431,999200,0,0,0,0
617365,999200,0,0,0,0
619299,999200,0,0,0,0
621233,999200,0,0,0,0
623167,999200,0,0,0,0
625101,999200,0,0,0,0
627035,999200,0,0,0,0
628969,999200,0,0,0,0
630903,999200,0,0,0,0
632837,999200,0,0,0,0
634771,999200,0,0,0,0
636705,999200,0,0,0,0
638639,999200,0,0,0,0
640573,999200,0,0,0,0
526467,1001000,0,0,0,0
528401,1001000,0,0,0,0
530335,1001000,0,0,0,0
532269,1001000,0,0,0,0
534203,1001000,0,0,0,0
536137,1001000,0,0,0,0
538071,1001000,0,0,0,0
540005,1001000,0,0,0,0
541939,1001000,0,0,0,0
543873,1001000,0,0,0,0
545807,1001000,0,0,0,0
547741,1001000,0,0,0,0
549675,1001000,0,0,0,0
551609,1001000,0,0,0,0
553543,1001000,0,0,0,0
555477,1001000,0,0,0,0
557411,1001000,0,0,0,0
559345,1001000,0,0,0,0
561279,1001000,0,0,0,0
563213,1001000,0,0,0,0
565147,1001000,0,0,0,0
567081,1001000,0,0,0,0
569015,1001000,0,0,0,0
570949,1001000,0,0,0,0
572883,1001000,0,0,0,0
574817,1001000,0,0,0,0
576751,1001000,0,0,0,0
578685,1001000,0,0,0,0
580619,1001000,0,0,0,0
582553,1001000,0,0,0,0
584487,1001000,0,0,0,0
586421,1001000,0,0,0,0
588355,1001000,0,0,0,0
590289,1001000,0,0,0,0
592223,1001000,0,0,0,0
594157,1001000,0,0,0,0
596091,1001000,0,0,0,0
598025,1001000,0,0,0,0
599959,1001000,0,0,0,0
601893,1001000,0,0,0,0
603827,1001000,0,0,0,0
605761,1001000,0,0,0,0
607695,1001000,0,0,0,0
609629,1001000,0,0,0,0
