x,y,ID,LightTraps,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Day21,Day22,Day23,Day24,Day25,Day26,Day27,Day28,Day29,Day30,Day31
549285.3996,1028493.911,7,Phong Tan,22,126,92,88,32,22,0,68,82,112,86,126,48,43,30,54,230,320,54,36,42,0,82,42,36,46,54,38,44,55,42
559376.5369,1038970.933,11,Hung Phu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,30,48,0,0,0,0,10000,1050,350,4500,0,0
550663.2421,1021203.975,6,Gia Rai,12,86,146,210,48,38,0,124,54,96,120,180,34,78,28,42,320,438,32,48,52,0,24,32,40,58,70,54,62,42,36
552401.0655,1054250.582,8,Ninh Hoa,16,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,670,0,24,76,479,0,0,0,246,210,216,67,0,0
554130.0129,1034740.199,10,Vinh Thanh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,105,35,0,0,0,0,20000,7000,120,7000,0,0
556992.5906,1049985.118,9,Ninh Quoi A,118,942,174,75,47,0,0,0,0,0,0,0,0,0,0,0,966,0,0,450,420,0,0,0,0,157,58,94,9,45,21
562443.3853,1026776.938,5,Vinh My B,0,0,0,0,0,0,0,42,41,35,30,11,0,0,31,0,0,65,23,24,900,83,480,362,230,15,13,18,65,29,30
563869.2241,1038718.917,3,Vinh Hung A,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,1000,786,315,500,1478,0,0,0,0,0,40,0,0,0,0
569101.7958,1025902.119,4,Hoa Binh,13,25,0,0,17,23,13,19,15,0,7,5,0,0,23,453,850,350,15,37,1600,320,18,13,7,80,17,11,52,17,15
581188.2597,1033552.544,2,Chau Hung,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,30,250,4800,550,2700,7200,1200,700,500,320,260,220,150,120,0,0
581394.9775,1025596.226,1,Bac Lieu Town,26,18,12,9,11,9,0,16,15,12,9,10,0,12,8,0,32,980,1690,2460,675,180,97,69,37,18,12,7,4,0,0
