x,y,ID,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,TOTAL_TEN_DAYS
584201,1091949,1000,0,0,0,0,0,0,5,0,0,4,9
563583.4199,1052416.329,1001,0,0,0,0,0,0,0,0,0,0,0
554130.0129,1034740.199,1002,35,0,0,0,0,20000,7000,120,7000,0,34155
568839,1081405,1003,0,0,0,0,0,0,0,0,0,0,0
587307.0377,1044409.352,1004,0,0,0,0,8,30,0,14,0,0,52
553232,1066126,1005,0,0,0,6,18,9,0,0,0,0,33
567748,1094000,1006,0,0,0,0,4,0,4,0,0,0,8
543609,1075698,1007,14,64,84,98,135,80,100,110,72,40,797
559457,1090216,1008,0,0,0,0,0,0,0,0,0,0,0
599276.1725,1070859.476,1009,15,12,0,0,15,0,0,0,0,0,42
591652,1097862,1010,0,0,0,0,0,0,0,0,0,0,0
578154,1100258,1011,0,0,0,0,0,0,0,0,0,0,0
611800.1466,1049405.307,1012,1575,0,0,0,0,0,0,112,0,0,1687
550663.2421,1021203.975,1013,52,0,24,32,40,58,70,54,62,42,434
565203.8969,1047936.978,1014,0,0,0,0,0,0,0,0,0,0,0
588700,1097972,1015,0,8,0,0,0,0,0,0,0,0,8
561089,1090034,1016,400,20,0,0,0,0,0,0,0,0,420
559376.5369,1038970.933,1017,48,0,0,0,0,10000,1050,350,4500,0,15948
596334.2619,1080818.638,1018,60,110,121,130,170,155,120,280,255,355,1756
570485,1095600,1019,0,0,6,0,0,0,0,0,0,0,6
611358.768,1063429.699,1020,0,0,0,0,0,0,0,0,0,0,0
553946,1073125,1021,0,0,200,300,250,120,0,0,0,0,870
623187.1417,1060908.332,1022,0,0,0,0,0,0,0,0,0,0,0
548325,1077215,1023,145,183,900,1100,1700,15200,25300,5300,0,0,49828
592413,1081536,1024,0,0,0,0,0,0,0,0,0,0,0
560271,1066811,1025,0,0,0,0,0,0,0,0,0,0,0
543245,1075064,1026,0,0,80,270,1450,15000,6000,2000,600,200,25600
559633,1074460,1027,0,0,100,150,200,680,80,0,0,0,1210
549027,1062692,1028,0,3000,3000,5000,5000,10000,1000,0,0,0,27000
584631,1097397,1029,0,0,0,0,0,0,0,0,0,0,0
603674.3129,1080272.593,1030,180,215,720,200,200,80,40,57,50,50,1792
556992.5906,1049985.118,1031,420,0,0,0,0,157,58,94,9,45,783
600882.9176,1055606.969,1032,64,0,0,0,0,0,0,0,0,0,64
552401.0655,1054250.582,1033,76,479,0,0,0,246,210,216,67,0,1294
555392,1088028,1034,0,0,0,0,0,0,0,0,0,0,0
554855,1076123,1035,0,0,0,0,0,0,0,0,0,0,0
567996,1076124,1036,24,23,18,34,32,0,0,0,0,0,131
577102.3942,1045373.446,1037,218,115,0,0,218,98,65,197,36,4,951
581394.9775,1025596.226,1038,675,180,97,69,37,18,12,7,4,0,1099
549285.3996,1028493.911,1039,42,0,82,42,36,46,54,38,44,55,439
543019,1062508,1040,0,3000,3000,4000,4000,6000,3000,4000,0,0,27000
587716.0383,1070975.175,1041,0,7,0,0,0,0,0,0,0,200,207
563869.2241,1038718.917,1042,1478,0,0,0,0,0,40,0,0,0,1518
566549,1084880,1043,0,0,50,100,300,250,100,0,0,0,800
581456,1100798,1044,0,2,0,0,0,0,0,0,0,0,2
552297,1077327,1045,2,3,12,80,200,250,100,200,150,100,1097
589383,1088204,1046,0,0,0,0,0,0,0,0,0,0,0
586823,1088570,1047,0,0,0,0,0,0,0,0,0,0,0
626024.661,1046484.528,1048,0,0,0,0,0,0,0,0,0,0,0
553394,1079905,1049,5,0,0,0,12,2,18,14,0,0,51
607218.8569,1079267.077,1050,41,95,350,37,55,91,16,52,41,52,830
593092.786,1060394.791,1051,7,5,0,0,320,173,0,0,0,0,505
575925,1087283,1052,0,0,0,0,0,0,0,0,0,0,0
589734,1099317,1053,0,0,0,0,0,0,0,0,0,10,10
563929,1076660,1054,0,0,0,0,0,0,0,0,0,0,0
588042,1091566,1055,0,0,0,0,0,0,0,0,0,0,0
594372.4253,1074912.734,1056,0,4,0,0,0,0,5,0,15,0,24
611007.6144,1070453.402,1057,0,0,0,0,0,0,0,0,0,0,0
589774.8145,1051835.585,1058,55,22,0,0,22,75,16,24,25,3,242
560609,1081144,1059,0,0,0,0,100,30,0,0,0,0,130
562443.3853,1026776.938,1060,900,83,480,362,230,15,13,18,65,29,2195
567738.9563,1043484.217,1061,200,96,0,0,14,26,17,58,29,30,470
581188.2597,1033552.544,1062,7200,1200,700,500,320,260,220,150,120,0,10670
563996,1103511,1063,0,0,0,0,0,5,15,0,0,0,20
549338,1084723,1064,40,53,27,40,500,33,5,17,9,15,739
569101.7958,1025902.119,1065,1600,320,18,13,7,80,17,11,52,17,2135
604348.7074,1058654.566,1066,0,0,0,0,0,0,0,0,0,0,0
