x,y,ID,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,TOTAL_TEN_DAYS
588042,1091566,1000,14,5,5,5,5,5,35,5,5,5005,5089
588700,1097972,1001,5,5,5,5,5,5,5,5,5,5,50
581456,1100798,1002,5,5,5,5,5,5,5,5,5,5,50
591652,1097862,1003,5,5,5,5,5,5,5,5,5,5,50
589734,1099317,1004,5,5,5,5,5,5,5,5,5,5,50
584631,1097397,1005,5,5,5,5,5,5,5,5,5,5,50
567748,1094000,1006,5,5,5,80,210,485,1205,605,11005,12005,25610
563996,1103511,1007,5,5,5,5,41,145,755,3005,10005,14005,27976
578154,1100258,1008,5,5,5,5,5,60,125,355,4005,4505,9075
570485,1095600,1009,5,5,5,29,155,5,3505,805,7005,10005,21524
584201,1091949,1010,5,5,5,5,5,5,24,21,20,17,112
567996,1076124,1011,5,5,5,5,581,1005,1041,857,1285,1753,6542
575925,1087283,1012,5,5,5,5,5,5,5,5,5,5,50
568839,1081405,1013,5,5,5,5,5,5,5,5,5,5,50
553946,1073125,1014,5,5,505,1005,4005,4505,3505,2005,705,305,16550
560609,1081144,1015,5,5,105,605,1205,3005,505,205,155,55,5850
554855,1076123,1016,5,5,5,5,5,5,5,5,5,5,50
561089,1090034,1017,125,5,5,5,5,5,5,5,5,5,170
559457,1090216,1018,5,5,205,105,505,205,75,5,5,5,1120
555392,1088028,1019,305,905,1005,1505,705,505,105,5,5,5,5050
566549,1084880,1020,5,5,5,105,205,805,1005,505,205,5,2850
559633,1074460,1021,55,155,505,2505,1305,1205,105,5,5,5,5850
553394,1079905,1022,5,205,325,285,355,3505,3465,5,5,5,8160
549338,1084723,1023,295,313,415,2453,5205,29105,8705,6805,1905,725,55926
552297,1077327,1024,125,115,135,125,105,805,905,1005,905,1005,5230
548325,1077215,1025,363,397,1305,6505,7105,8505,7805,5205,3505,695,41390
543609,1075698,1026,5,5,285,355,465,1605,2405,8005,2005,405,15540
543245,1075064,1027,5,5,5,5,5,5,85,275,1455,15005,16850
589383,1088204,1028,5,5,5,5,5,5,5,5,1505,5,1550
586823,1088570,1029,5,5,5,5,5,5,5,5,7005,5,7050
592413,1081536,1030,5,5,5,5,5,5,5,5,1005,5,1050
553232,1066126,1031,5,30,103,356,1981,3255,2554,2405,1617,5,12311
560271,1066811,1032,5,5,5,5,5,5,5,2655,991,5,3686
563929,1076660,1033,5,5,5,5,5,5,5,5,5,5,50
543019,1062508,1034,5,5,5,205,105,405,5,5,5,505,1250
549027,1062692,1035,5,5,5,105,155,205,5,5,5,205,700
581394.9775,1025596.226,1036,5,5,5,5,5,5,18,5,22,5,80
581188.2597,1033552.544,1037,5,5,5,5,5,5,14,5,30,37,116
563869.2241,1038718.917,1038,5,5,5,5,5,5,5,5,5,5,50
569101.7958,1025902.119,1039,5,5,5,5,5,5,12,5,5,81,133
562443.3853,1026776.938,1040,5,5,5,5,5,5,16,5,5,92,148
550663.2421,1021203.975,1041,21,25,17,13,21,29,19,43,55,51,294
549285.3996,1028493.911,1042,29,23,21,27,27,23,25,223,427,40,865
552401.0655,1054250.582,1043,5,5,124,325,431,528,377,5,119,72,1991
556992.5906,1049985.118,1044,5,5,5,5,5,5,579,5,139,45,798
554130.0129,1034740.199,1045,5,5,5,5,5,5,17,5,5,5,62
559376.5369,1038970.933,1046,5,5,5,5,5,5,13,5,5,5,58
577102.3942,1045373.446,1047,5,5,5,5,5,5,5,28,11,5,79
589774.8145,1051835.585,1048,5,5,5,5,5,5,5,8,11,10,64
567738.9563,1043484.217,1049,5,5,5,5,5,5,5,15,25,65,140
565203.8969,1047936.978,1050,5,5,5,5,5,5,5,5,5,5,50
563583.4199,1052416.329,1051,355,415,455,5,5,5,5,5,5,5,1260
611007.6144,1070453.402,1052,5,5,5,5,5,5,5,5,5,5,50
623187.1417,1060908.332,1053,5,5,5,5,5,5,5,5,5,5,50
626024.661,1046484.528,1054,5,5,5,5,5,5,5,5,5,5,50
603674.3129,1080272.593,1055,155,145,167,295,45,100,55,355,855,95,2267
607218.8569,1079267.077,1056,85,103,95,135,20,69,27,45,42,22,643
596334.2619,1080818.638,1057,125,110,139,105,15,85,135,155,95,285,1249
604348.7074,1058654.566,1058,5,5,5,5,5,5,5,5,5,5,50
611358.768,1063429.699,1059,5,5,5,5,5,5,5,5,5,5,50
593092.786,1060394.791,1060,5,5,5,5,5,5,5,5,5,5,50
587716.0383,1070975.175,1061,5,5,5,5,5,5,5,5,305,405,750
599276.1725,1070859.476,1062,5,47,65,5,5,5,5,5,5,40,187
594372.4253,1074912.734,1063,5,55,61,5,5,7,5,25,35,75,278
611800.1466,1049405.307,1064,5,5,5,5,5,5,5,5,5,5,50
600882.9176,1055606.969,1065,5,5,5,5,5,5,5,5,5,5,50
587307.0377,1044409.352,1066,5,5,5,5,5,5,5,5,5,5,50
