x,y,ID,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,TOTAL_TEN_DAYS
584201,1091949,1000,1000,2500,25000,42100,3000,65000,0,1809,30000,153000,343909
563583.4199,1052416.329,1001,1000,1000,1000,1000,1000,1000,1000,1000,1000,30400,40401
554130.0129,1034740.199,1002,1035,1000,1000,1000,1000,21000,8000,1120,8000,500,44657
568839,1081405,1003,1000,1000,1000,1000,1000,1000,1000,1000,1000,3000,13003
587307.0377,1044409.352,1004,1000,1000,1000,1000,1008,1030,1000,1014,1000,42300,52356
553232,1066126,1005,1000,1000,1000,1006,1018,1009,1000,1000,1000,30000,40038
567748,1094000,1006,1000,1000,1000,1000,1004,1000,1004,1000,1000,250400,260414
543609,1075698,1007,1014,1064,1084,1098,1135,1080,1100,1110,1072,1040,11804
559457,1090216,1008,1000,1000,1000,1000,1000,1000,1000,1000,1000,3700,13708
599276.1725,1070859.476,1009,1015,1012,1000,1000,1015,1000,1000,1000,1000,50,10101
591652,1097862,1010,1000,1000,1000,1000,1000,1000,1000,1000,1000,100,10110
578154,1100258,1011,1000,1000,1000,1000,1000,1000,1000,1000,1000,500,10511
611800.1466,1049405.307,1012,2575,1000,1000,1000,1000,1000,1000,1112,1000,8000,19699
550663.2421,1021203.975,1013,1052,1000,1024,1032,1040,1058,1070,1054,1062,7500,17905
565203.8969,1047936.978,1014,1000,1000,1000,1000,1000,1000,1000,1000,1000,40000,50014
588700,1097972,1015,1000,1008,1000,1000,1000,1000,1000,1000,1000,45000,55023
561089,1090034,1016,1400,1020,1000,1000,1000,1000,1000,1000,1000,400,10836
559376.5369,1038970.933,1017,1048,1000,1000,1000,1000,11000,2050,1350,5500,780,26745
596334.2619,1080818.638,1018,1060,1110,1121,1130,1170,1155,1120,1280,1255,6900,18319
570485,1095600,1019,1000,1000,1006,1000,1000,1000,1000,1000,1000,14000,24025
611358.768,1063429.699,1020,1000,1000,1000,1000,1000,1000,1000,1000,1000,500060,510080
553946,1073125,1021,1000,1000,1200,1300,1250,1120,1000,1000,1000,432000,442891
623187.1417,1060908.332,1022,1000,1000,1000,1000,1000,1000,1000,1000,1000,3000,13022
548325,1077215,1023,1145,1183,1900,2100,2700,16200,26300,6300,1000,1006,60857
592413,1081536,1024,1000,1000,1000,1000,1000,1000,1000,1000,1000,94000,104024
560271,1066811,1025,1000,1000,1000,1000,1000,1000,1000,1000,1000,32000,42025
