x,y,ID,LightTraps,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Day21,Day22,Day23,Day24,Day25,Day26,Day27,Day28,Day29,Day30,Day31
577102.3942,1045373.446,1,Thanh Tri,0,0,0,17,12,0,0,0,0,0,0,0,0,84,0,0,0,5100,4600,100,218,115,0,0,218,98,65,197,36,4,2
589774.8145,1051835.585,2,Lam Kiet,0,0,0,4,8,12,8,8,0,0,15,6,12,70,0,0,0,100,50,120,55,22,0,0,22,75,16,24,25,3,1
567738.9563,1043484.217,3,Vinh Loi,0,0,0,15,10,6,11,15,0,0,12,0,15,18,0,0,0,300,220,95,200,96,0,0,14,26,17,58,29,30,12
565203.8969,1047936.978,4,My Binh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
563583.4199,1052416.329,5,Vinh Bien,0,0,0,0,0,0,0,0,0,0,0,0,15,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
611007.6144,1070453.402,6,Truong Khanh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
623187.1417,1060908.332,7,Long Phu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626024.661,1046484.528,8,Lich Hoi Thuong,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603674.3129,1080272.593,9,Ke Thanh,140,630,495,310,42,64,130,200,180,149,176,0,90,52,73,20,65,120,90,73,180,215,720,200,200,80,40,57,50,50,120
607218.8569,1079267.077,10,Ke Sach,3120,35,45,35,54,29,73,105,62,35,96,0,22,62,6,24,45,96,110,21,41,95,350,37,55,91,16,52,41,52,115
596334.2619,1080818.638,11,Dai Hai,630,96,62,210,167,95,106,103,100,116,96,0,117,360,82,80,74,86,91,55,60,110,121,130,170,155,120,280,255,355,310
604348.7074,1058654.566,12,Phuong 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
611358.768,1063429.699,13,Phuong 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
593092.786,1060394.791,14,Thuan Hung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,5,0,0,320,173,0,0,0,0,0
587716.0383,1070975.175,15,Long Hung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,200,200
599276.1725,1070859.476,16,Thuan Hoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,0,0,15,0,0,0,0,0,0
594372.4253,1074912.734,17,Ho Dac Kien,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,15,0,0
611800.1466,1049405.307,18,Thanh Thoi An,0,0,0,415,240,162,20,125,0,0,0,128,0,0,0,0,0,0,1125,0,1575,0,0,0,0,0,0,112,0,0,0
600882.9176,1055606.969,19,Dai Tam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0
587307.0377,1044409.352,20,Thanh Quoi,600,0,550,120,0,0,8,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,8,30,0,14,0,0,0
