,,,,T_Ttb,T_Txtb,T_Tmtb,R_R,R_Rx,R_nRx,R_Nm,R_Rtb,H_Utb,H_Um,H_nUm,S_S,S_Stb
ID,_Station,Month,Year,Temp_Mean,Temp_Max,Temp_Min,Rain_Amount,Rain_Max,Rain_No_Days_Max,Rain_No_Days,Rain_Mean,Hum_Mean,Hum_Min,Hum_No_Days,Sunning_Hours,Sunning_Hours_Mean
1,'Moc Hoa',1,2010,262,312,232,18,10,20,3,0.580645161,82,50,7,239,7.709677419
2,'My Tho',1,2010,256,299,231,45,29,20,3,1.451612903,79,47,31,218,7.032258065
3,'Cao Lanh',1,2010,255,302,226,30,27,20,3,0.967741935,85,60,17,226,7.290322581
4,'Cang Long',1,2010,257,302,228,31,16,19,2,1,83,48,27,223,7.193548387
5,'Chau Doc',1,2010,263,310,230,6,4,20,4,0.193548387,81,50,16,214,6.903225806
6,'Can Tho',1,2010,260,305,234,15,7,20,0,0.483870968,80,52,1,224,7.225806452
7,'Soc Trang',1,2010,259,306,234,70,63,20,2,2.258064516,82,48,27,225,7.258064516
8,'Rach Gia',1,2010,259,300,234,50,4,20,3,1.612903226,80,58,17,234,7.548387097
9,'Bac Lieu',1,2010,258,302,230,3,2,19,2,0.096774194,82,53,25,231,7.451612903
10,'Ca Mau',1,2010,265,303,240,1,1,41,3,0.032258065,78,47,27,165,5.322580645
1,'Moc Hoa',2,2010,270,337,235,0,0,0,0,0,81,50,16,279,9.964285714
2,'My Tho',2,2010,262,312,230,0,0,0,0,0,79,42,14,270,9.642857143
3,'Cao Lanh',2,2010,262,322,223,0,0,0,0,0,84,53,16,262,9.357142857
4,'Cang Long',2,2010,263,320,227,0,0,0,0,0,82,49,26,265,9.464285714
5,'Chau Doc',2,2010,271,331,231,0,0,0,0,0,81,51,15,250,8.928571429
6,'Can Tho',2,2010,270,323,234,0,0,0,0,0,79,45,14,274,9.785714286
7,'Soc Trang',2,2010,267,320,236,0,0,0,0,0,82,51,18,284,10.14285714
8,'Rach Gia',2,2010,269,318,236,0,0,0,0,0,79,53,15,270,9.642857143
9,'Bac Lieu',2,2010,267,316,232,0,0,0,0,0,80,53,16,282,10.07142857
10,'Ca Mau',2,2010,275,319,248,0,0,0,0,0,77,51,26,257,9.178571429
1,'Moc Hoa',3,2010,285,360,246,30,19,26,4,0.967741935,79,42,18,284,9.161290323
2,'My Tho',3,2010,278,332,243,4,3,28,2,0.129032258,76,41,16,277,8.935483871
3,'Cao Lanh',3,2010,281,344,239,1,1,27,2,0.032258065,78,46,17,260,8.387096774
4,'Cang Long',3,2010,278,334,241,0,0,0,0,0,79,45,18,261,8.419354839
5,'Chau Doc',3,2010,287,351,244,6,3,26,3,0.193548387,75,43,28,237,7.64516129
6,'Can Tho',3,2010,284,338,251,6,4,28,2,0.193548387,74,49,27,289,9.322580645
7,'Soc Trang',3,2010,279,332,249,0,0,0,0,0,77,44,18,288,9.290322581
8,'Rach Gia',3,2010,284,336,250,13,10,27,4,0.419354839,75,42,18,254,8.193548387
9,'Bac Lieu',3,2010,283,326,252,0,0,0,0,0,76,47,11,313,10.09677419
10,'Ca Mau',3,2010,286,332,262,0,0,0,0,0,74,45,24,252,8.129032258
1,'Moc Hoa',4,2010,299,357,263,33,21,30,5,1.1,77,42,24,275,9.166666667
2,'My Tho',4,2010,287,339,253,228,23,20,1,7.6,76,40,24,269,8.966666667
3,'Cao Lanh',4,2010,293,345,255,70,66,20,2,2.333333333,81,50,9,274,9.133333333
4,'Cang Long',4,2010,288,345,250,1,1,30,3,0.033333333,80,44,10,257,8.566666667
5,'Chau Doc',4,2010,300,359,261,1,1,16,2,0.033333333,74,42,9,209,6.966666667
6,'Can Tho',4,2010,294,345,259,11,1,20,1,0.366666667,76,72,11,278,9.266666667
7,'Soc Trang',4,2010,290,345,252,4,4,20,2,0.133333333,79,41,24,297,9.9
8,'Rach Gia',4,2010,295,341,266,8,7,19,3,0.266666667,76,50,15,279,9.3
9,'Bac Lieu',4,2010,294,302,282,0,0,0,0,0,76,50,21,316,10.53333333
10,'Ca Mau',4,2010,299,344,270,5,4,20,2,0.166666667,75,46,11,258,8.6
1,'Moc Hoa',5,2010,302,354,270,166,53,21,9,5.35483871,79,46,12,262,8.451612903
2,'My Tho',5,2010,299,350,267,118,58,31,12,3.806451613,79,41,19,236,7.612903226
3,'Cao Lanh',5,2010,297,346,265,90,47,31,11,2.903225806,83,54,30,250,8.064516129
4,'Cang Long',5,2010,294,350,260,47,15,21,12,1.516129032,83,49,6,168,5.419354839
5,'Chau Doc',5,2010,304,347,272,76,47,29,8,2.451612903,78,44,7,231,7.451612903
6,'Can Tho',5,2010,300,349,267,67,20,21,8,2.161290323,77,47,11,257,8.290322581
7,'Soc Trang',5,2010,297,350,266,109,48,31,15,3.516129032,79,36,2,245,7.903225806
8,'Rach Gia',5,2010,302,338,277,167,53,22,16,5.387096774,79,50,2,262,8.451612903
9,'Bac Lieu',5,2010,303,344,270,95,68,31,15,3.064516129,76,53,2,266,8.580645161
10,'Ca Mau',5,2010,302,349,272,114,35,10,14,3.8,77,47,8,211,6.806451613
1,'Moc Hoa',6,2010,286,340,260,171,48,18,17,5.7,84,57,14,232,7.733333333
2,'My Tho',6,2010,279,333,251,300,55,9,22,10,85,53,7,204,6.8
3,'Cao Lanh',6,2010,283,335,254,141,39,26,20,4.7,87,59,20,212,7.066666667
4,'Cang Long',6,2010,278,334,249,261,41,25,23,8.7,85,55,8,187,6.233333333
5,'Chau Doc',6,2010,286,340,261,151,39,9,20,5.033333333,84,50,11,201,6.7
6,'Can Tho',6,2010,280,333,253,196,39,20,21,6.533333333,84,55,13,218,7.266666667
7,'Soc Trang',6,2010,281,330,258,245,30,13,25,8.166666667,86,54,3,196,6.533333333
8,'Rach Gia',6,2010,291,316,270,264,44,21,21,8.8,84,63,11,209,6.966666667
9,'Bac Lieu',6,2010,287,303,281,301,54,1,20,10.03333333,83,58,17,208,6.933333333
10,'Ca Mau',6,2010,286,334,264,223,61,12,25,7.433333333,82,48,13,119,3.966666667
1,'Moc Hoa',7,2010,277,330,252,212,26,7,20,6.838709677,86,58,6,250,8.064516129
2,'My Tho',7,2010,270,320,240,249,54,31,21,8.032258065,83,53,10,171,5.516129032
3,'Cao Lanh',7,2010,275,323,249,367,77,22,24,11.83870968,88,60,20,176,5.677419355
4,'Cang Long',7,2010,272,324,246,227,70,13,24,7.322580645,87,54,10,166,5.35483871
5,'Chau Doc',7,2010,275,327,250,302,44,15,26,9.741935484,87,55,30,153,4.935483871
6,'Can Tho',7,2010,274,322,248,144,34,8,21,4.64516129,86,57,7,183,5.903225806
7,'Soc Trang',7,2010,273,320,252,175,28,17,27,5.64516129,87,57,7,197,6.35483871
8,'Rach Gia',7,2010,280,307,260,272,38,4,23,8.774193548,86,63,9,177,5.709677419
9,'Bac Lieu',7,2010,278,318,254,207,40,18,20,6.677419355,85,55,29,192,6.193548387
10,'Ca Mau',7,2010,277,319,257,275,56,24,24,8.870967742,85,55,8,131,4.225806452
1,'Moc Hoa',8,2010,280,328,252,209,50,1,20,6.741935484,83,57,5,194,6.258064516
