x,y,ID,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Day21,Day22,Day23,Day24,Day25,Day26,Day27,Day28,Day29,Day30,Day31,TOTAL
588042,1091566,1000,14,5,5,5,5,5,35,5,5,5005,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5194
588700,1097972,1001,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,13,5,5,5,5,5,5,5,5,5,163
581456,1100798,1002,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,5,5,5,5,5,5,5,5,5,157
591652,1097862,1003,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,155
589734,1099317,1004,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,15,5,165
584631,1097397,1005,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,155
567748,1094000,1006,5,5,5,80,210,485,1205,605,11005,12005,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,5,9,5,5,5,5,25723
563996,1103511,1007,5,5,5,5,41,145,755,3005,10005,14005,5,5,5,5,5,5,5,5,8,5,5,5,5,5,5,10,20,5,5,5,5,28104
578154,1100258,1008,5,5,5,5,5,60,125,355,4005,4505,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9180
570485,1095600,1009,5,5,5,29,155,5,3505,805,7005,10005,5,5,5,5,5,5,5,5,5,5,5,5,11,5,5,5,5,5,5,5,5,21635
584201,1091949,1010,5,5,5,5,5,5,24,21,20,17,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,5,5,9,5,226
567996,1076124,1011,5,5,5,5,581,1005,1041,857,1285,1753,5,5,5,5,5,5,5,5,5,26,29,28,23,39,37,5,5,5,5,5,5,6799
575925,1087283,1012,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,155
568839,1081405,1013,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,155
553946,1073125,1014,5,5,505,1005,4005,4505,3505,2005,705,305,5,5,5,5,5,5,5,5,5,5,5,5,205,305,255,125,5,5,5,5,5,17525
560609,1081144,1015,5,5,105,605,1205,3005,505,205,155,55,5,5,5,5,5,5,5,5,5,5,5,5,5,5,105,35,5,5,5,5,5,6085
