cell,x
1,1143.519826
2,1119.841869
3,1096.579226
4,1073.840813
5,1051.753962
6,1030.464451
7,1010.13479
8,990.9400523
9,973.060593
10,956.6713899
11,941.9284665
12,928.9539023
13,917.8220047
14,908.5497878
15,901.094503
16,895.3594461
17,891.2071064
18,888.4768095
19,887.0031335
20,886.6317742
21,887.2308069
22,888.6967739
23,890.9561506
24,893.96329
25,897.69599
26,902.1495849
27,907.3302051
28,913.247713
29,919.9088694
30,927.3114011
31,935.4396845
32,944.2626158
33,953.7338923
34,963.7944894
35,974.3767358
36,985.4091843
37,996.8214843
38,1008.548635
39,1020.534244
40,1032.732667
41,1045.110069
42,1057.644576
43,1070.325724
44,1083.153395
45,1096.136438
46,1109.291091
47,1122.639333
48,1136.207237
49,1150.023379
50,1164.117351
51,1178.518409
52,1193.254285
53,1208.350179
54,1223.827951
55,1239.705522
56,1255.996471
57,1272.709841
58,1289.850125
59,1307.417414
60,1325.407676
61,1118.448481
62,1093.775002
63,1069.456983
64,1045.608854
65,1022.368285
66,999.8975388
67,978.3829265
68,958.0312145
69,939.0617676
70,921.6935415
71,906.1270102
72,892.5227922
73,880.9807311
74,871.5245871
75,864.0971926
76,858.5684652
77,854.7548405
78,852.4452809
79,851.4276474
80,851.5102286
81,852.5356946
82,854.3872881
83,856.9887464
84,860.3000089
85,864.3104857
86,869.0310199
87,874.4851114
88,880.6997604
89,887.6964624
90,895.483239
91,904.0488147
92,913.3598848
93,923.3618677
94,933.9827915
95,945.1393393
96,956.7437912
97,968.7106796
98,980.9623126
99,993.4327402
100,1006.070104
101,1018.837552
102,1031.71302
103,1044.688199
104,1057.766971
105,1070.963538
106,1084.300418
107,1097.806411
108,1111.514623
109,1125.460591
110,1139.680559
111,1154.209927
112,1169.081899
113,1184.326354
114,1199.968955
115,1216.030499
116,1232.52652
117,1249.467122
118,1266.857031
119,1284.695835
120,1302.97838
121,1093.672629
122,1067.948825
123,1042.504131
124,1017.455968
125,992.9503856
126,969.1654413
127,946.3127497
128,924.6355341
129,904.4010857
130,885.8856015
131,869.3504772
132,855.0117047
133,843.0077025
134,833.3741197
135,826.0344613
136,820.8113388
137,817.4560768
138,815.6880878
139,815.2332716
140,815.8531904
141,817.3616249
142,819.6295068
143,822.5816008
144,826.1886079
145,830.4573587
146,835.4203526
147,841.1248152
148,847.6211357
149,854.9510308
150,863.1366611
151,872.1725344
152,882.021872
153,892.6181532
154,903.87124
155,915.6764367
156,927.9244447
157,940.5104369
158,953.3411332
159,966.3394597
160,979.4469151
161,992.624065
162,1005.849679
163,1019.118986
164,1032.441431
165,1045.838196
166,1059.339677
167,1072.983017
168,1086.809765
169,1100.863697
170,1115.188836
171,1129.827687
172,1144.819708
173,1160.200051
174,1175.998582
175,1192.239194
176,1208.939408
177,1226.110264
178,1243.756457
179,1261.876706
180,1280.464282
181,1069.273774
182,1042.44947
183,1015.809148
184,989.4693086
185,963.5807055
186,938.3345709
187,913.9675633
188,890.7632098
189,869.046539
190,849.1679177
191,831.4729038
192,816.2585234
