idPointgrille;date;RRmm;Tmin;Tmax;Rglot;ETPmm
3638;1/1/2009 000000;7,4;-2,8;5,3;1457;0,1
3638;2/1/2009 000000;27,7;-2,9;0,5;1300;0,1
3638;3/1/2009 000000;37,5;4,5;-4,2;1906;0,8
3638;4/1/2009 000000;2,2;2,8;5,8;776;0
3638;5/1/2009 000000;29;4,7;2,4;1706;0
3638;6/1/2009 000000;15,1;8,3;2,8;715;0,1
3638;7/1/2009 000000;9,5;-3,4;-3;1907;0,9
3638;8/1/2009 000000;9,5;9;-2,4;514;0,6
3638;9/1/2009 000000;28,6;-2,4;6;1837;0,6
3638;10/1/2009 000000;39,5;4,2;3,8;1965;0,6
3638;11/1/2009 000000;22,4;2,6;1,8;840;1
3638;12/1/2009 000000;22,4;-4,2;4,5;1292;0,9
3638;13/1/2009 000000;2,6;3,1;-3,2;544;0,2
3638;14/1/2009 000000;30;1,8;5,1;1606;0,4
3638;15/1/2009 000000;37,7;-4,8;-4,6;1566;1
3638;16/1/2009 000000;23,4;9;-3,3;793;0,7
3638;17/1/2009 000000;4,1;9,3;-0,3;1234;0,7
3638;18/1/2009 000000;0,8;0,6;-4;1304;0,3
3638;19/1/2009 000000;22,2;-1,1;5,5;645;0,8
3638;20/1/2009 000000;14,7;5,1;3,6;1693;0,9
3638;21/1/2009 000000;37,6;0,7;-2,9;1822;0,3
3638;22/1/2009 000000;3,5;1,1;-3,4;1935;0,4
3638;23/1/2009 000000;29,7;-2,3;2,2;1940;0,1
3638;24/1/2009 000000;17,7;7,8;-2,8;986;0,9
3638;25/1/2009 000000;2,9;4,4;9,9;1412;0,7
3638;26/1/2009 000000;34;4,8;-1,5;747;0,1
3638;27/1/2009 000000;14,3;0,9;8,5;592;0,6
3638;28/1/2009 000000;19,2;9,3;9,2;1461;0,3
3638;29/1/2009 000000;29,1;3,3;6,2;785;0,8
3638;30/1/2009 000000;40;7,2;8,6;670;0,4
3638;31/1/2009 000000;23,8;4,1;3,7;1320;0,7
3638;1/2/2009 000000;15;-4,6;-2,4;579;0,5
3638;2/2/2009 000000;19,2;3,8;0,5;538;0,9
3638;3/2/2009 000000;25,4;3;-4;1340;1
3638;4/2/2009 000000;2,5;-3,5;-4,4;1060;0,2
3638;5/2/2009 000000;13,5;2,2;5,3;809;0,8
3638;6/2/2009 000000;3,5;3,6;-4,3;1097;0,4
3638;7/2/2009 000000;30,6;1,3;-1,8;1281;0,4
3638;8/2/2009 000000;25,3;-3;4,4;1350;0,4
3638;9/2/2009 000000;22,3;-4,3;-3,7;970;0,3
3638;10/2/2009 000000;24,4;6;-0,6;1939;1
3638;11/2/2009 000000;19,2;9,2;-1,3;1809;0,7
3638;12/2/2009 000000;23,5;6,8;-1,6;1886;0,8
3638;13/2/2009 000000;24,3;-3,1;0,2;608;1
3638;14/2/2009 000000;18,1;0,9;-3,1;1411;0
3638;15/2/2009 000000;38,3;1,6;9,1;1564;0,3
3638;16/2/2009 000000;22,6;-4,2;8,3;540;0
3638;17/2/2009 000000;9;-1,2;-4,6;1010;0,1
3638;18/2/2009 000000;8,3;9,2;9,3;763;0,6
3638;19/2/2009 000000;17,1;3,7;5,9;1478;0,1
3638;20/2/2009 000000;39,9;6,7;3,9;1052;0,2
3638;21/2/2009 000000;29,9;7,1;7,5;1617;1
3638;22/2/2009 000000;21;2,9;-4,3;1348;1
3638;23/2/2009 000000;19,2;0,9;3,8;1481;0,7
3638;24/2/2009 000000;14,8;-3,4;0,5;1173;0,5
3638;25/2/2009 000000;38,5;3,7;0,2;1680;0,1
3638;26/2/2009 000000;2,3;-1,8;8,3;1937;0,8
3638;27/2/2009 000000;26,7;-4,6;-1,8;652;0,6
3638;28/2/2009 000000;18,3;4,2;-3,2;1867;0,1
3639;1/1/2009 000000;35,8;2,1;2,6;802;0,4
3639;2/1/2009 000000;19,8;-0,1;4,5;1247;1
3639;3/1/2009 000000;7,2;-3,6;-3,5;754;0,6
3639;4/1/2009 000000;35;-0,6;-1,7;1025;0,9
3639;5/1/2009 000000;39,2;-3,7;-1,8;1350;0,6
3639;6/1/2009 000000;32,7;6,4;6,4;1058;0,8
3639;7/1/2009 000000;31,6;0,6;7,6;1816;0,9
3639;8/1/2009 000000;15,8;-4,9;-3,9;1963;0,6
3639;9/1/2009 000000;35,6;-3,4;2;785;0,9
3639;10/1/2009 000000;12,4;-4,7;-1,7;1114;0,9
3639;11/1/2009 000000;23,6;1,8;3,6;1432;0
3639;12/1/2009 000000;6;4,3;2;1055;0,6
3639;13/1/2009 000000;8,2;-4,6;1,9;553;0,6
3639;14/1/2009 000000;25,5;0,7;2,1;1363;0,7
3639;15/1/2009 000000;38,4;1;6,3;595;0,4
3639;16/1/2009 000000;13,9;6,3;1,6;997;0,4
3639;17/1/2009 000000;35;-1,8;8,4;817;0,4
3639;18/1/2009 000000;39,8;6,7;9,8;1916;0,6
3639;19/1/2009 000000;27,2;1,3;-1,4;588;0,4
3639;20/1/2009 000000;29,2;3,7;5,9;624;0,7
3639;21/1/2009 000000;27,5;6,3;-1,5;1287;0,7
3639;22/1/2009 000000;5,8;-3,1;-4,6;724;0
3639;23/1/2009 000000;18,8;4,6;-4,8;777;0,7
3639;24/1/2009 000000;16,4;1;0,2;1243;0,4
3639;25/1/2009 000000;27,7;9,6;6,5;1596;0,2
3639;26/1/2009 000000;37,2;8,1;5,5;558;0,9
3639;27/1/2009 000000;32,7;9,2;-0,5;1342;0,4
3639;28/1/2009 000000;16,4;3,3;8,5;1714;0,9
3639;29/1/2009 000000;2,3;7,1;3,5;1152;0,6
3639;30/1/2009 000000;12;1,2;6,9;1995;0,7
3639;31/1/2009 000000;30,1;-0,3;-4,4;1189;0,3
3639;1/2/2009 000000;38,7;5,7;0,8;1682;0,6
3639;2/2/2009 000000;10,4;5,8;-4,5;1944;1
3639;3/2/2009 000000;12,6;-1,3;-4,6;710;1
3639;4/2/2009 000000;38,4;2;0,1;1667;0,6
3639;5/2/2009 000000;22,3;2,7;-2,9;1504;0,4
3639;6/2/2009 000000;6,9;2,3;-1;1819;0,2
3639;7/2/2009 000000;24,1;9,3;5,9;1856;0,9
3639;8/2/2009 000000;33;3;0,9;1807;0,1
3639;9/2/2009 000000;30,9;2,3;5,2;1759;0,5
3639;10/2/2009 000000;21,7;-2,2;-2,5;1030;0,6
3639;11/2/2009 000000;18,6;-4,1;7;1121;0,9
3639;12/2/2009 000000;1,9;3,5;-1,7;1324;0,9
3639;13/2/2009 000000;33,2;0,6;-2,3;1517;0
3639;14/2/2009 000000;28,4;3,8;9,5;504;0,6
3639;15/2/2009 000000;36,3;-4,7;6,3;1759;0,4
3639;16/2/2009 000000;22,1;7,4;4,4;1233;0,8
3639;17/2/2009 000000;30,1;9,9;5,9;1565;0,1
3639;18/2/2009 000000;8,9;3,3;-1,3;662;0,2
3639;19/2/2009 000000;31;-2,4;5,1;1709;0
3639;20/2/2009 000000;18,1;-2,2;-3,2;963;0,4
3639;21/2/2009 000000;3,9;0,1;8,2;510;1
3639;22/2/2009 000000;21,9;8,2;-1,7;734;0,1
