
null
cycle: 1; pedestrians: 0; captured pedestrians: 0; step_length: 1.0
cycle: 51; pedestrians: 500; captured pedestrians: 0; step_length: 9.0
cycle: 101; pedestrians: 1000; captured pedestrians: 0; step_length: 14.0
cycle: 151; pedestrians: 1500; captured pedestrians: 0; step_length: 29.0
cycle: 201; pedestrians: 2000; captured pedestrians: 0; step_length: 33.0
cycle: 251; pedestrians: 2500; captured pedestrians: 0; step_length: 42.0
cycle: 301; pedestrians: 3000; captured pedestrians: 0; step_length: 62.0
cycle: 351; pedestrians: 3500; captured pedestrians: 0; step_length: 57.0
cycle: 401; pedestrians: 4000; captured pedestrians: 0; step_length: 68.0
cycle: 451; pedestrians: 4500; captured pedestrians: 0; step_length: 78.0
cycle: 501; pedestrians: 5000; captured pedestrians: 0; step_length: 88.0
cycle: 551; pedestrians: 2611; captured pedestrians: 2899; step_length: 52.0
cycle: 601; pedestrians: 2612; captured pedestrians: 3396; step_length: 44.0
cycle: 651; pedestrians: 2614; captured pedestrians: 3896; step_length: 37.0
cycle: 701; pedestrians: 2610; captured pedestrians: 4398; step_length: 49.0
cycle: 751; pedestrians: 2614; captured pedestrians: 4894; step_length: 53.0
cycle: 801; pedestrians: 3023; captured pedestrians: 4976; step_length: 47.0
