
null
cycle: 1.0; nbPreys: 188; minEnergyPreys: 0.055; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.029; maxSizePredators: 1.0
cycle: 2.0; nbPreys: 173; minEnergyPreys: 0.10500000000000001; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.509; maxSizePredators: 1.0
cycle: 3.0; nbPreys: 160; minEnergyPreys: 0.15500000000000003; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.491; maxSizePredators: 1.0
cycle: 4.0; nbPreys: 153; minEnergyPreys: 0.20500000000000002; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.96; maxSizePredators: 1.0
cycle: 5.0; nbPreys: 151; minEnergyPreys: 0.255; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.94; maxSizePredators: 1.0
cycle: 6.0; nbPreys: 146; minEnergyPreys: 0.14950000000000005; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.9199999999999999; maxSizePredators: 1.0
cycle: 7.0; nbPreys: 137; minEnergyPreys: 0.19950000000000007; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.9199999999999999; maxSizePredators: 1.0
cycle: 8.0; nbPreys: 133; minEnergyPreys: 0.24950000000000008; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.8999999999999999; maxSizePredators: 1.0
cycle: 9.0; nbPreys: 133; minEnergyPreys: 0.19950000000000007; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.8799999999999999; maxSizePredators: 1.0
cycle: 10.0; nbPreys: 129; minEnergyPreys: 0.14950000000000008; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.47; maxSizePredators: 1.0
cycle: 11.0; nbPreys: 123; minEnergyPreys: 0.09950000000000007; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.44999999999999996; maxSizePredators: 1.0
cycle: 12.0; nbPreys: 125; minEnergyPreys: 0.04950000000000007; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.42999999999999994; maxSizePredators: 1.0
cycle: 13.0; nbPreys: 117; minEnergyPreys: 0.04033333333333336; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.4099999999999999; maxSizePredators: 1.0
cycle: 14.0; nbPreys: 113; minEnergyPreys: 0.04949999999980273; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.3899999999999999; maxSizePredators: 1.0
cycle: 15.0; nbPreys: 107; minEnergyPreys: 0.13724999999999982; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.3699999999999999; maxSizePredators: 1.0
cycle: 16.0; nbPreys: 108; minEnergyPreys: 0.08724999999999981; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.34999999999999987; maxSizePredators: 1.0
cycle: 17.0; nbPreys: 105; minEnergyPreys: 0.03724999999999981; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.32999999999999985; maxSizePredators: 1.0
cycle: 18.0; nbPreys: 97; minEnergyPreys: 0.01500000000000025; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.2866666666666666; maxSizePredators: 1.0
cycle: 19.0; nbPreys: 93; minEnergyPreys: 0.0100000000000003; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.2666666666666666; maxSizePredators: 1.0
cycle: 20.0; nbPreys: 85; minEnergyPreys: 0.04900000000000035; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.24666666666666662; maxSizePredators: 1.0
cycle: 21.0; nbPreys: 84; minEnergyPreys: 0.002000000000000182; maxSizePreys: 1.0; nbPredators: 29; minEnergyPredators: 0.22666666666666663; maxSizePredators: 1.0
cycle: 22.0; nbPreys: 75; minEnergyPreys: 0.04900000000000013; maxSizePreys: 1.0; nbPredators: 29; minEnergyPredators: 0.20666666666666664; maxSizePredators: 1.0
cycle: 23.0; nbPreys: 70; minEnergyPreys: 0.08999999999999979; maxSizePreys: 1.0; nbPredators: 29; minEnergyPredators: 0.18666666666666665; maxSizePredators: 1.0
cycle: 24.0; nbPreys: 68; minEnergyPreys: 0.039999999999999786; maxSizePreys: 1.0; nbPredators: 29; minEnergyPredators: 0.16666666666666666; maxSizePredators: 0.98
cycle: 25.0; nbPreys: 64; minEnergyPreys: 0.04299999999999968; maxSizePreys: 1.0; nbPredators: 29; minEnergyPredators: 0.14666666666666667; maxSizePredators: 1.0
cycle: 26.0; nbPreys: 68; minEnergyPreys: 0.1499999999999997; maxSizePreys: 1.0; nbPredators: 29; minEnergyPredators: 0.12666666666666668; maxSizePredators: 1.0
cycle: 27.0; nbPreys: 74; minEnergyPreys: 0.09999999999999969; maxSizePreys: 1.0; nbPredators: 29; minEnergyPredators: 0.10666666666666667; maxSizePredators: 1.0
cycle: 28.0; nbPreys: 71; minEnergyPreys: 0.049999999999999684; maxSizePreys: 1.0; nbPredators: 30; minEnergyPredators: 0.08666666666666667; maxSizePredators: 1.0
cycle: 29.0; nbPreys: 63; minEnergyPreys: 1.0130785099704553E-15; maxSizePreys: 1.0; nbPredators: 33; minEnergyPredators: 0.06666666666666667; maxSizePredators: 1.0
cycle: 30.0; nbPreys: 64; minEnergyPreys: 0.13333333333333336; maxSizePreys: 1.0; nbPredators: 35; minEnergyPredators: 0.04666666666666666; maxSizePredators: 1.0
cycle: 31.0; nbPreys: 68; minEnergyPreys: 0.08333333333333336; maxSizePreys: 1.0; nbPredators: 35; minEnergyPredators: 0.02666666666666666; maxSizePredators: 1.0
cycle: 32.0; nbPreys: 63; minEnergyPreys: 0.033333333333333354; maxSizePreys: 1.0; nbPredators: 35; minEnergyPredators: 0.006666666666666661; maxSizePredators: 1.0
cycle: 33.0; nbPreys: 60; minEnergyPreys: 0.08333333333333336; maxSizePreys: 1.0; nbPredators: 34; minEnergyPredators: 0.00999999999999985; maxSizePredators: 1.0
