
null
cycle: 1; nbPreys: 200; minEnergyPreys: 0.06403921568627449; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.166; maxSizePredators: 0.9339999999999999
cycle: 2; nbPreys: 202; minEnergyPreys: 0.1140392156862745; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.14600000000000002; maxSizePredators: 0.9139999999999999
cycle: 3; nbPreys: 205; minEnergyPreys: 0.10603843137254897; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.12600000000000003; maxSizePredators: 0.97
cycle: 4; nbPreys: 204; minEnergyPreys: 0.07075980392156858; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.10600000000000002; maxSizePredators: 0.95
cycle: 5; nbPreys: 204; minEnergyPreys: 0.02075980392156858; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.08600000000000002; maxSizePredators: 1.0
cycle: 6; nbPreys: 208; minEnergyPreys: 0.04960607843137246; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.08700000000000002; maxSizePredators: 1.0
cycle: 7; nbPreys: 216; minEnergyPreys: 0.05500529411764697; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.06700000000000002; maxSizePredators: 1.0
cycle: 8; nbPreys: 223; minEnergyPreys: 0.043224509803921424; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.047000000000000014; maxSizePredators: 1.0
cycle: 9; nbPreys: 226; minEnergyPreys: 0.0643037254901959; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.027000000000000014; maxSizePredators: 1.0
cycle: 10; nbPreys: 229; minEnergyPreys: 0.01657901960784329; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.007000000000000013; maxSizePredators: 1.0
cycle: 11; nbPreys: 236; minEnergyPreys: 0.031159215686274416; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.04800000000000007; maxSizePredators: 1.0
cycle: 12; nbPreys: 234; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.04800000000000007; maxSizePredators: 1.0
cycle: 13; nbPreys: 236; minEnergyPreys: 0.03430705882352916; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.04500000000000001; maxSizePredators: 1.0
cycle: 14; nbPreys: 231; minEnergyPreys: 0.009800000000000045; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.025000000000000012; maxSizePredators: 1.0
cycle: 15; nbPreys: 228; minEnergyPreys: 0.015774509803921546; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.005000000000000011; maxSizePredators: 1.0
cycle: 16; nbPreys: 224; minEnergyPreys: 0.009206078431372458; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.09499999999999989; maxSizePredators: 0.98
cycle: 17; nbPreys: 228; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.07499999999999989; maxSizePredators: 1.0
cycle: 18; nbPreys: 232; minEnergyPreys: 0.01703921568627427; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.05499999999999988; maxSizePredators: 1.0
cycle: 19; nbPreys: 232; minEnergyPreys: 0.048628431372549054; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.03499999999999988; maxSizePredators: 1.0
cycle: 20; nbPreys: 228; minEnergyPreys: 0.006448431372549052; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.014999999999999878; maxSizePredators: 1.0
cycle: 21; nbPreys: 238; minEnergyPreys: 0.024917058823529306; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.17799999999999971; maxSizePredators: 1.0
cycle: 22; nbPreys: 234; minEnergyPreys: 0.02600000000000005; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.15799999999999972; maxSizePredators: 1.0
cycle: 23; nbPreys: 243; minEnergyPreys: 0.014476862745097782; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.13799999999999973; maxSizePredators: 1.0
cycle: 24; nbPreys: 238; minEnergyPreys: 0.005917490196078359; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.11799999999999973; maxSizePredators: 1.0
cycle: 25; nbPreys: 230; minEnergyPreys: 0.009556862745097552; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.09799999999999973; maxSizePredators: 0.98
cycle: 26; nbPreys: 226; minEnergyPreys: 0.012476078431374008; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.07799999999999972; maxSizePredators: 1.0
cycle: 27; nbPreys: 221; minEnergyPreys: 0.0013390196078427313; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.05799999999999972; maxSizePredators: 1.0
cycle: 28; nbPreys: 215; minEnergyPreys: 0.009800000000000322; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.06999999999999985; maxSizePredators: 1.0
cycle: 29; nbPreys: 211; minEnergyPreys: 0.005599607843141369; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.19999999999999982; maxSizePredators: 1.0
cycle: 30; nbPreys: 205; minEnergyPreys: 0.04146529411764724; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.17999999999999983; maxSizePredators: 1.0
cycle: 31; nbPreys: 201; minEnergyPreys: 0.0025774509803918183; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.15999999999999984; maxSizePredators: 1.0
cycle: 32; nbPreys: 199; minEnergyPreys: 1.8041124150158794E-16; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.13999999999999985; maxSizePredators: 1.0
cycle: 33; nbPreys: 197; minEnergyPreys: 0.0038100000000014372; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.11999999999999984; maxSizePredators: 1.0
cycle: 34; nbPreys: 189; minEnergyPreys: 0.014554509803922797; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.09999999999999984; maxSizePredators: 1.0
cycle: 35; nbPreys: 188; minEnergyPreys: 0.009057647058824017; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.07999999999999984; maxSizePredators: 1.0
cycle: 36; nbPreys: 183; minEnergyPreys: 0.058372352941176625; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.05999999999999983; maxSizePredators: 1.0
cycle: 37; nbPreys: 187; minEnergyPreys: 0.008372352941176622; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.03999999999999983; maxSizePredators: 1.0
cycle: 38; nbPreys: 191; minEnergyPreys: 0.040999999999999676; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.019999999999999827; maxSizePredators: 1.0
cycle: 39; nbPreys: 182; minEnergyPreys: 0.09297196078431173; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.3499999999999994; maxSizePredators: 1.0
cycle: 40; nbPreys: 184; minEnergyPreys: 0.04297196078431173; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.3299999999999994; maxSizePredators: 1.0
cycle: 41; nbPreys: 182; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.2199999999999999; maxSizePredators: 1.0
cycle: 42; nbPreys: 177; minEnergyPreys: 0.02499999999999998; maxSizePreys: 1.0; nbPredators: 26; minEnergyPredators: 0.1999999999999999; maxSizePredators: 1.0
cycle: 43; nbPreys: 168; minEnergyPreys: 0.014853725490195549; maxSizePreys: 1.0; nbPredators: 26; minEnergyPredators: 0.1799999999999999; maxSizePredators: 1.0
cycle: 44; nbPreys: 167; minEnergyPreys: 0.05000000000000002; maxSizePreys: 1.0; nbPredators: 26; minEnergyPredators: 0.15999999999999992; maxSizePredators: 1.0
cycle: 45; nbPreys: 165; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 26; minEnergyPredators: 0.13999999999999993; maxSizePredators: 1.0
cycle: 46; nbPreys: 162; minEnergyPreys: 1.249000902703301E-16; maxSizePreys: 1.0; nbPredators: 26; minEnergyPredators: 0.11999999999999993; maxSizePredators: 1.0
cycle: 47; nbPreys: 154; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 26; minEnergyPredators: 0.09999999999999992; maxSizePredators: 1.0
cycle: 48; nbPreys: 143; minEnergyPreys: 0.0016331372549008433; maxSizePreys: 1.0; nbPredators: 29; minEnergyPredators: 0.07999999999999992; maxSizePredators: 1.0
cycle: 49; nbPreys: 139; minEnergyPreys: 0.06425999999999735; maxSizePreys: 1.0; nbPredators: 29; minEnergyPredators: 0.059999999999999915; maxSizePredators: 1.0
cycle: 50; nbPreys: 128; minEnergyPreys: 0.014259999999997344; maxSizePreys: 1.0; nbPredators: 29; minEnergyPredators: 0.03999999999999991; maxSizePredators: 1.0
cycle: 51; nbPreys: 122; minEnergyPreys: 0.0018700000000000522; maxSizePreys: 1.0; nbPredators: 29; minEnergyPredators: 0.01999999999999991; maxSizePredators: 1.0
cycle: 52; nbPreys: 123; minEnergyPreys: 0.03376000000000326; maxSizePreys: 1.0; nbPredators: 29; minEnergyPredators: 0.11333333333333327; maxSizePredators: 1.0
cycle: 53; nbPreys: 116; minEnergyPreys: 0.10214156862744715; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.09333333333333327; maxSizePredators: 1.0
cycle: 54; nbPreys: 112; minEnergyPreys: 0.05214156862744715; maxSizePreys: 1.0; nbPredators: 28; minEnergyPredators: 0.07333333333333326; maxSizePredators: 1.0
cycle: 55; nbPreys: 108; minEnergyPreys: 0.0021415686274471463; maxSizePreys: 1.0; nbPredators: 28; minEnergyPredators: 0.05333333333333326; maxSizePredators: 1.0
cycle: 56; nbPreys: 111; minEnergyPreys: 0.030509019607842663; maxSizePreys: 1.0; nbPredators: 28; minEnergyPredators: 0.03333333333333326; maxSizePredators: 1.0
cycle: 57; nbPreys: 99; minEnergyPreys: 0.0026133333333340364; maxSizePreys: 1.0; nbPredators: 28; minEnergyPredators: 0.013333333333333256; maxSizePredators: 1.0
cycle: 58; nbPreys: 96; minEnergyPreys: 0.002720000000000014; maxSizePreys: 1.0; nbPredators: 28; minEnergyPredators: 0.00999999999999985; maxSizePredators: 1.0
cycle: 59; nbPreys: 98; minEnergyPreys: 0.022560784313724172; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.19333333333333327; maxSizePredators: 1.0
cycle: 60; nbPreys: 91; minEnergyPreys: 0.07099490196078587; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.17333333333333328; maxSizePredators: 1.0
cycle: 61; nbPreys: 89; minEnergyPreys: 0.020994901960785864; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.1533333333333333; maxSizePredators: 1.0
cycle: 62; nbPreys: 87; minEnergyPreys: 0.09999999999999969; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.1333333333333333; maxSizePredators: 0.98
cycle: 63; nbPreys: 84; minEnergyPreys: 0.049999999999999684; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.1133333333333333; maxSizePredators: 0.96
cycle: 64; nbPreys: 88; minEnergyPreys: 0.049999999999999684; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.0933333333333333; maxSizePredators: 1.0
cycle: 65; nbPreys: 91; minEnergyPreys: 0.006120000000003414; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.07333333333333329; maxSizePredators: 1.0
cycle: 66; nbPreys: 85; minEnergyPreys: 0.011674705882352768; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.05333333333333329; maxSizePredators: 0.98
cycle: 67; nbPreys: 89; minEnergyPreys: 0.031794705882350144; maxSizePreys: 1.0; nbPredators: 27; minEnergyPredators: 0.033333333333333284; maxSizePredators: 1.0
cycle: 68; nbPreys: 86; minEnergyPreys: 0.029279999999997225; maxSizePreys: 1.0; nbPredators: 27; minEnergyPredators: 0.013333333333333284; maxSizePredators: 0.98
cycle: 69; nbPreys: 84; minEnergyPreys: 0.07886000000000115; maxSizePreys: 1.0; nbPredators: 27; minEnergyPredators: 0.17999999999999983; maxSizePredators: 0.96
cycle: 70; nbPreys: 84; minEnergyPreys: 0.12886000000000114; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.15999999999999984; maxSizePredators: 1.0
cycle: 71; nbPreys: 84; minEnergyPreys: 0.09890643137255055; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.13999999999999985; maxSizePredators: 1.0
cycle: 72; nbPreys: 83; minEnergyPreys: 0.048906431372550546; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.11999999999999984; maxSizePredators: 0.98
cycle: 73; nbPreys: 83; minEnergyPreys: 0.11581843137254953; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.09999999999999984; maxSizePredators: 0.96
