
null
cycle: 1.0; nbPreys: 190; minEnergyPreys: 0.05; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.05499999999999999; maxSizePredators: 1.0
cycle: 2.0; nbPreys: 188; minEnergyPreys: 0.1; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.073; maxSizePredators: 1.0
cycle: 3.0; nbPreys: 181; minEnergyPreys: 0.15000000000000002; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.05299999999999999; maxSizePredators: 1.0
cycle: 4.0; nbPreys: 175; minEnergyPreys: 0.2; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.03299999999999999; maxSizePredators: 1.0
cycle: 5.0; nbPreys: 171; minEnergyPreys: 0.19266666666666674; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.012999999999999987; maxSizePredators: 1.0
cycle: 6.0; nbPreys: 168; minEnergyPreys: 0.24266666666666672; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.10300000000000004; maxSizePredators: 1.0
cycle: 7.0; nbPreys: 167; minEnergyPreys: 0.151; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.08300000000000003; maxSizePredators: 1.0
cycle: 8.0; nbPreys: 170; minEnergyPreys: 0.201; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.06300000000000003; maxSizePredators: 1.0
cycle: 9.0; nbPreys: 171; minEnergyPreys: 0.251; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.043000000000000024; maxSizePredators: 1.0
cycle: 10.0; nbPreys: 166; minEnergyPreys: 0.2833333333333333; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.023000000000000024; maxSizePredators: 1.0
cycle: 11.0; nbPreys: 165; minEnergyPreys: 0.23333333333333334; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.503; maxSizePredators: 1.0
cycle: 12.0; nbPreys: 164; minEnergyPreys: 0.18333333333333335; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.483; maxSizePredators: 1.0
cycle: 13.0; nbPreys: 167; minEnergyPreys: 0.12; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.7999999999999998; maxSizePredators: 1.0
cycle: 14.0; nbPreys: 169; minEnergyPreys: 0.08333333333333336; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.7799999999999998; maxSizePredators: 1.0
cycle: 15.0; nbPreys: 167; minEnergyPreys: 0.033333333333333354; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.2666666666666666; maxSizePredators: 1.0
cycle: 16.0; nbPreys: 161; minEnergyPreys: 0.04266666666666688; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.24666666666666662; maxSizePredators: 1.0
cycle: 17.0; nbPreys: 166; minEnergyPreys: 0.04266666666666688; maxSizePreys: 1.0; nbPredators: 22; minEnergyPredators: 0.22666666666666663; maxSizePredators: 1.0
cycle: 18.0; nbPreys: 166; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 23; minEnergyPredators: 0.20666666666666664; maxSizePredators: 1.0
cycle: 19.0; nbPreys: 162; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 23; minEnergyPredators: 0.18666666666666665; maxSizePredators: 1.0
cycle: 20.0; nbPreys: 158; minEnergyPreys: 0.012000000000000302; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.16666666666666666; maxSizePredators: 1.0
cycle: 21.0; nbPreys: 155; minEnergyPreys: 0.03800000000000034; maxSizePreys: 1.0; nbPredators: 27; minEnergyPredators: 0.14666666666666667; maxSizePredators: 1.0
cycle: 22.0; nbPreys: 155; minEnergyPreys: 0.007000000000000076; maxSizePreys: 1.0; nbPredators: 27; minEnergyPredators: 0.12666666666666668; maxSizePredators: 1.0
cycle: 23.0; nbPreys: 149; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 27; minEnergyPredators: 0.10666666666666667; maxSizePredators: 1.0
cycle: 24.0; nbPreys: 144; minEnergyPreys: 0.005999999999999964; maxSizePreys: 1.0; nbPredators: 29; minEnergyPredators: 0.08666666666666667; maxSizePredators: 1.0
cycle: 25.0; nbPreys: 137; minEnergyPreys: 0.08699999999999967; maxSizePreys: 1.0; nbPredators: 29; minEnergyPredators: 0.06666666666666667; maxSizePredators: 1.0
cycle: 26.0; nbPreys: 137; minEnergyPreys: 0.03699999999999967; maxSizePreys: 1.0; nbPredators: 29; minEnergyPredators: 0.04666666666666666; maxSizePredators: 1.0
