
cycle: 372.0; nbPreys: 106; minEnergyPreys: 0.041960784313755856; maxSizePreys: 1.0; nbPredators: 0; minEnergyPredators: 1.7976931348623157E308; maxSizePredators: 4.9E-324
cycle: 1.0; nbPreys: 198; minEnergyPreys: 0.044; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.072; maxSizePredators: 1.0
cycle: 2.0; nbPreys: 195; minEnergyPreys: 0.08600000000000001; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.05199999999999999; maxSizePredators: 1.0
cycle: 3.0; nbPreys: 196; minEnergyPreys: 0.036000000000000004; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.03199999999999999; maxSizePredators: 1.0
cycle: 4.0; nbPreys: 205; minEnergyPreys: 0.06398039215686269; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.011999999999999986; maxSizePredators: 1.0
cycle: 5.0; nbPreys: 203; minEnergyPreys: 0.01594117647058814; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.05399999999999999; maxSizePredators: 1.0
cycle: 6.0; nbPreys: 202; minEnergyPreys: 0.027941176470588122; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.03399999999999999; maxSizePredators: 1.0
cycle: 7.0; nbPreys: 204; minEnergyPreys: 0.030196078431372536; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.013999999999999988; maxSizePredators: 0.98
cycle: 8.0; nbPreys: 210; minEnergyPreys: 0.08607843137254896; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.11100000000000006; maxSizePredators: 1.0
cycle: 9.0; nbPreys: 213; minEnergyPreys: 0.04196078431372538; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.09100000000000005; maxSizePredators: 1.0
cycle: 10.0; nbPreys: 214; minEnergyPreys: 0.01023529411764701; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.07100000000000005; maxSizePredators: 1.0
cycle: 11.0; nbPreys: 211; minEnergyPreys: 0.03054901960784304; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.051000000000000045; maxSizePredators: 0.98
cycle: 12.0; nbPreys: 213; minEnergyPreys: 0.013960784313725494; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.031000000000000045; maxSizePredators: 1.0
cycle: 13.0; nbPreys: 209; minEnergyPreys: 0.0274509803921565; maxSizePreys: 1.0; nbPredators: 18; minEnergyPredators: 0.011000000000000044; maxSizePredators: 1.0
cycle: 14.0; nbPreys: 207; minEnergyPreys: 0.034941176470588156; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.08999999999999997; maxSizePredators: 1.0
cycle: 15.0; nbPreys: 207; minEnergyPreys: 0.031411764705882236; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.06999999999999997; maxSizePredators: 1.0
cycle: 16.0; nbPreys: 207; minEnergyPreys: 0.05000000000000002; maxSizePreys: 1.0; nbPredators: 17; minEnergyPredators: 0.04999999999999996; maxSizePredators: 1.0
