
null
cycle: 1.0; minSize: 0.03553536192515985; maxSize: 0.2006188864440062; mean: 0.11955947572251768
cycle: 2.0; minSize: 0.07294031234119097; maxSize: 0.2406188864440062; mean: 0.15915849564167805
cycle: 3.0; minSize: 0.11044031234119098; maxSize: 0.3006188864440062; mean: 0.21434072815277697
cycle: 4.0; minSize: 0.160440312341191; maxSize: 0.3806188864440062; mean: 0.28745696083792927
cycle: 5.0; minSize: 0.20996207141256157; maxSize: 0.4806188864440062; mean: 0.3794676309877735
cycle: 6.0; minSize: 0.25496207141256155; maxSize: 0.6006188864440062; mean: 0.48641410089126685
cycle: 7.0; minSize: 0.30746207141256154; maxSize: 0.7406188864440062; mean: 0.6112858667184128
cycle: 8.0; minSize: 0.36746207141256154; maxSize: 0.8976805112693218; mean: 0.742947917067691
cycle: 9.0; minSize: 0.43496207141256155; maxSize: 1.0776805112693217; mean: 0.9050802700088675
cycle: 10.0; minSize: 0.5099620714125616; maxSize: 1.2776805112693217; mean: 1.0875244275704659
cycle: 11.0; minSize: 0.6108515536446772; maxSize: 1.4976805112693217; mean: 1.295219275236677
cycle: 12.0; minSize: 0.7008515536446773; maxSize: 1.7376805112693217; mean: 1.4902040079384313
cycle: 13.0; minSize: 0.7983515536446774; maxSize: 1.9976805112693217; mean: 1.7523528524354413
cycle: 14.0; minSize: 0.9033515536446775; maxSize: 2.2776805112693217; mean: 1.9656025080596042
cycle: 15.0; minSize: 1.0158515536446775; maxSize: 2.534692569650873; mean: 2.17155545873026
cycle: 16.0; minSize: 1.1358515536446776; maxSize: 2.8546925696508727; mean: 2.4515554587302604
cycle: 17.0; minSize: 1.2633515536446778; maxSize: 3.1946925696508726; mean: 2.7188657775716654
cycle: 18.0; minSize: 1.3983515536446778; maxSize: 3.5546925696508724; mean: 3.062254858660148
cycle: 19.0; minSize: 1.5408515536446779; maxSize: 3.9346925696508723; mean: 3.345516723525295
cycle: 20.0; minSize: 1.690851553644678; maxSize: 4.334692569650873; mean: 3.744371878433294
cycle: 21.0; minSize: 1.8483515536446782; maxSize: 4.754692569650873; mean: 4.111871878433294
cycle: 22.0; minSize: 2.013351553644678; maxSize: 5.194692569650873; mean: 4.496871878433294
cycle: 23.0; minSize: 2.3008515536446783; maxSize: 5.654692569650873; mean: 4.812546072854419
cycle: 24.0; minSize: 2.6008515536446786; maxSize: 6.134692569650873; mean: 5.241117501425848
cycle: 25.0; minSize: 2.9133515536446786; maxSize: 6.634692569650873; mean: 5.687546072854421
cycle: 26.0; minSize: 4.46493272987131; maxSize: 7.154692569650874; mean: 6.637411826056044
cycle: 27.0; minSize: 4.8024327298713105; maxSize: 7.694692569650874; mean: 7.100101827198745
cycle: 28.0; minSize: 8.204436112532404; maxSize: 8.254692569650874; mean: 8.234519101530603
cycle: 29.0; minSize: 8.806660699147258; maxSize: 8.834692569650874; mean: 8.824546764530004
cycle: 30.0; minSize: 9.406660699147258; maxSize: 9.434692569650874; mean: 9.424546764530001
cycle: 31.0; minSize: 0.05246074044365471; maxSize: 0.15664083894615993; mean: 0.10433975383810298
cycle: 32.0; minSize: 0.6924607404436549; maxSize: 0.7966408389461601; mean: 0.74368373412312
cycle: 33.0; minSize: 1.352460740443655; maxSize: 1.4566408389461603; mean: 1.402773948832565
cycle: 34.0; minSize: 2.041017678895699; maxSize: 2.1366408389461604; mean: 2.084044918385036
cycle: 35.0; minSize: 2.741017678895699; maxSize: 2.8366408389461606; mean: 2.7840449183850358
cycle: 36.0; minSize: 3.4610176788956992; maxSize: 3.556640838946161; mean: 3.502961259833399
cycle: 37.0; minSize: 4.2010176788957; maxSize: 4.2966408389461614; mean: 4.242961259833399
cycle: 38.0; minSize: 4.9610176788957006; maxSize: 5.056640838946162; mean: 5.002961259833399
cycle: 39.0; minSize: 5.741017678895701; maxSize: 5.836640838946162; mean: 5.776826867990521
cycle: 40.0; minSize: 6.5410176788957015; maxSize: 6.636640838946163; mean: 6.57682686799052
cycle: 41.0; minSize: 7.361017678895702; maxSize: 7.456640838946163; mean: 7.39682686799052
cycle: 42.0; minSize: 8.201017678895703; maxSize: 8.296640838946164; mean: 8.236826867990521
cycle: 43.0; minSize: 9.066754115746852; maxSize: 9.156640838946165; mean: 9.103988705809488
cycle: 44.0; minSize: 0.04000841637354402; maxSize: 9.971387457463528; mean: 2.380088681386352
cycle: 45.0; minSize: 0.05475249390553183; maxSize: 1.083956360127008; mean: 0.4461985549879545
cycle: 46.0; minSize: 0.9747524939055323; maxSize: 2.0039563601270083; mean: 1.3541093839532634
cycle: 47.0; minSize: 1.914752493905533; maxSize: 2.9439563601270087; mean: 2.2879724940841792
cycle: 48.0; minSize: 2.8747524939055333; maxSize: 3.903956360127009; mean: 3.2516987184714496
cycle: 49.0; minSize: 3.8547524939055338; maxSize: 4.8839563601270095; mean: 4.23169871847145
cycle: 50.0; minSize: 4.854752493905534; maxSize: 5.8839563601270095; mean: 5.285879238042059
cycle: 51.0; minSize: 5.88062823192244; maxSize: 6.8839563601270095; mean: 6.414405901330923
cycle: 52.0; minSize: 6.88062823192244; maxSize: 7.8839563601270095; mean: 7.369469960007509
cycle: 53.0; minSize: 7.88062823192244; maxSize: 8.883956360127009; mean: 8.369469960007509
cycle: 54.0; minSize: 8.88062823192244; maxSize: 9.853507377324082; mean: 9.267406988174372
cycle: 55.0; minSize: 0.06742593590421872; maxSize: 9.941000761925157; mean: 2.363013649802946
cycle: 56.0; minSize: 0.04888411578962185; maxSize: 1.142319367581146; mean: 0.4789111430271917
cycle: 57.0; minSize: 1.0488841157896218; maxSize: 2.142319367581146; mean: 1.530978449590626
cycle: 58.0; minSize: 2.0488841157896216; maxSize: 3.142319367581146; mean: 2.576325957112313
cycle: 59.0; minSize: 3.0488841157896216; maxSize: 4.1423193675811465; mean: 3.63628760919026
cycle: 60.0; minSize: 4.048884115789622; maxSize: 5.1423193675811465; mean: 4.636287609190259
cycle: 61.0; minSize: 5.048884115789622; maxSize: 6.1423193675811465; mean: 5.669316392130225
cycle: 62.0; minSize: 6.048884115789622; maxSize: 7.1423193675811465; mean: 6.6693163921302245
cycle: 63.0; minSize: 7.048884115789622; maxSize: 8.142319367581146; mean: 7.637227334589881
cycle: 64.0; minSize: 8.048884115789622; maxSize: 9.142319367581146; mean: 8.597578491652447
cycle: 65.0; minSize: 0.05334183895293428; maxSize: 9.127623947177732; mean: 2.1765907476904127
cycle: 66.0; minSize: 0.05821406317469728; maxSize: 1.1346014793631594; mean: 0.49806915451027706
cycle: 67.0; minSize: 1.0582140631746972; maxSize: 2.1346014793631594; mean: 1.5175674457608612
cycle: 68.0; minSize: 2.058214063174697; maxSize: 3.1346014793631594; mean: 2.5344702518060833
cycle: 69.0; minSize: 3.058214063174697; maxSize: 4.134601479363159; mean: 3.5753586445361885
cycle: 70.0; minSize: 4.06701349747283; maxSize: 5.134601479363159; mean: 4.589836293842487
cycle: 71.0; minSize: 5.06701349747283; maxSize: 6.132886092473201; mean: 5.586514209511063
cycle: 72.0; minSize: 6.06701349747283; maxSize: 7.120972584318362; mean: 6.583636665082862
cycle: 73.0; minSize: 7.0673793273583865; maxSize: 8.120972584318363; mean: 7.70434287829468
cycle: 74.0; minSize: 8.067379327358386; maxSize: 9.120972584318363; mean: 8.604827210311605
cycle: 75.0; minSize: 0.043012960480915345; maxSize: 9.173197670336712; mean: 1.89868369397929
cycle: 76.0; minSize: 0.046217089869380105; maxSize: 1.1438332634420794; mean: 0.5219373747892354
cycle: 77.0; minSize: 1.0462170898693801; maxSize: 2.1438332634420796; mean: 1.5047612970332656
cycle: 78.0; minSize: 2.051599859075726; maxSize: 3.1306856479155165; mean: 2.5303040733067603
cycle: 79.0; minSize: 3.051599859075726; maxSize: 4.1306856479155165; mean: 3.5303040733067603
cycle: 80.0; minSize: 4.051599859075726; maxSize: 5.1306856479155165; mean: 4.525541469362755
cycle: 81.0; minSize: 5.061625890755132; maxSize: 6.1306856479155165; mean: 5.555578378936757
cycle: 82.0; minSize: 6.061625890755132; maxSize: 7.1306856479155165; mean: 6.61005712074672
cycle: 83.0; minSize: 7.061625890755132; maxSize: 8.130685647915517; mean: 7.611872067793149
cycle: 84.0; minSize: 8.061625890755131; maxSize: 9.130685647915517; mean: 8.59027091541508
cycle: 85.0; minSize: 0.0; maxSize: 9.140396666846357; mean: 1.4638012849961703
cycle: 86.0; minSize: 0.04529965393655032; maxSize: 1.1932860747271534; mean: 0.6247483261399166
cycle: 87.0; minSize: 1.0452996539365502; maxSize: 2.1932860747271534; mean: 1.613345568188371
