
null
cycle: 1; minSize: 0.028019336286443278; maxSize: 0.17909956493217227; meanSize: 0.09972943735730559
cycle: 2; minSize: 0.058468865545075896; maxSize: 0.19909956493217226; meanSize: 0.11978664386056428
cycle: 3; minSize: 0.09793651168497072; maxSize: 0.23909956493217227; meanSize: 0.15527080096838392
cycle: 4; minSize: 0.13157522340493286; maxSize: 0.29909956493217227; meanSize: 0.20874109294253182
cycle: 5; minSize: 0.16157522340493286; maxSize: 0.3790995649321723; meanSize: 0.2768576981577382
cycle: 6; minSize: 0.19907522340493286; maxSize: 0.4790995649321723; meanSize: 0.36701987056592933
cycle: 7; minSize: 0.24407522340493287; maxSize: 0.5990995649321723; meanSize: 0.4753499514114624
cycle: 8; minSize: 0.29657522340493286; maxSize: 0.7390995649321723; meanSize: 0.6051574327164716
cycle: 9; minSize: 0.35657522340493286; maxSize: 0.8990995649321724; meanSize: 0.7537234017814063
cycle: 10; minSize: 0.42407522340493287; maxSize: 1.0430180443190955; meanSize: 0.9110285624527589
cycle: 11; minSize: 0.4990752234049329; maxSize: 1.2430180443190955; meanSize: 1.0897741822781206
cycle: 12; minSize: 0.581575223404933; maxSize: 1.4630180443190954; meanSize: 1.2880080139487737
cycle: 13; minSize: 0.671575223404933; maxSize: 1.7030180443190954; meanSize: 1.5190718851747917
cycle: 14; minSize: 0.7690752234049331; maxSize: 1.9630180443190954; meanSize: 1.765581579952609
cycle: 15; minSize: 0.8740752234049332; maxSize: 2.2425898667854534; meanSize: 2.0204125693988257
cycle: 16; minSize: 0.9865752234049332; maxSize: 2.542589866785453; meanSize: 2.298253478489734
cycle: 17; minSize: 1.1065752234049333; maxSize: 2.862589866785453; meanSize: 2.5838127594714417
cycle: 18; minSize: 1.2340752234049335; maxSize: 3.202589866785453; meanSize: 2.890527030084309
cycle: 19; minSize: 1.3690752234049335; maxSize: 3.5625898667854528; meanSize: 3.20716555754265
cycle: 20; minSize: 1.5115752234049336; maxSize: 3.9425898667854526; meanSize: 3.557944563222449
cycle: 21; minSize: 1.6615752234049337; maxSize: 4.342589866785453; meanSize: 3.952202122077589
cycle: 22; minSize: 3.0011950950316666; maxSize: 4.7625898667854525; meanSize: 4.41917483766111
cycle: 23; minSize: 3.2761950950316665; maxSize: 5.202589866785453; meanSize: 4.811076315945103
cycle: 24; minSize: 3.5636950950316666; maxSize: 5.662589866785453; meanSize: 5.214963982522844
cycle: 25; minSize: 3.865751624656635; maxSize: 6.142589866785453; meanSize: 5.729455422800298
cycle: 26; minSize: 4.178251624656635; maxSize: 6.642589866785453; meanSize: 6.172419267907418
cycle: 27; minSize: 4.503251624656635; maxSize: 7.162589866785454; meanSize: 6.642878536569653
cycle: 28; minSize: 4.840751624656636; maxSize: 7.702589866785454; meanSize: 7.045830241826297
