cycle: 0.0; nbPreys: 200; minEnergyPreys: 0.017; maxSizePreys: 0.999; nbPredators: 20; minEnergyPredators: 0.0; maxSizePredators: 0.974
cycle: 1.0; nbPreys: 190; minEnergyPreys: 0.067; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.313; maxSizePredators: 1.0
cycle: 2.0; nbPreys: 184; minEnergyPreys: 0.117; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.293; maxSizePredators: 1.0
cycle: 3.0; nbPreys: 178; minEnergyPreys: 0.167; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.27299999999999996; maxSizePredators: 1.0
cycle: 4.0; nbPreys: 179; minEnergyPreys: 0.2; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.25299999999999995; maxSizePredators: 1.0
cycle: 5.0; nbPreys: 180; minEnergyPreys: 0.18819999999999992; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.23299999999999996; maxSizePredators: 1.0
cycle: 6.0; nbPreys: 184; minEnergyPreys: 0.16299999999999995; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.21299999999999997; maxSizePredators: 1.0
cycle: 7.0; nbPreys: 182; minEnergyPreys: 0.11000000000000006; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.19299999999999998; maxSizePredators: 1.0
cycle: 8.0; nbPreys: 173; minEnergyPreys: 0.16000000000000006; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.20099999999999993; maxSizePredators: 1.0
cycle: 9.0; nbPreys: 171; minEnergyPreys: 0.21000000000000008; maxSizePreys: 1.0; nbPredators: 19; minEnergyPredators: 0.18099999999999994; maxSizePredators: 1.0
cycle: 10.0; nbPreys: 165; minEnergyPreys: 0.21766666666666662; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.16099999999999995; maxSizePredators: 1.0
cycle: 11.0; nbPreys: 164; minEnergyPreys: 0.153375; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.613; maxSizePredators: 1.0
cycle: 12.0; nbPreys: 161; minEnergyPreys: 0.11766666666666663; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.593; maxSizePredators: 1.0
cycle: 13.0; nbPreys: 161; minEnergyPreys: 0.06766666666666662; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.573; maxSizePredators: 1.0
cycle: 14.0; nbPreys: 170; minEnergyPreys: 0.017666666666666622; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.5529999999999999; maxSizePredators: 1.0
cycle: 15.0; nbPreys: 162; minEnergyPreys: 0.013000000000000081; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.5329999999999999; maxSizePredators: 1.0
cycle: 16.0; nbPreys: 154; minEnergyPreys: 0.1510000000000003; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.5129999999999999; maxSizePredators: 1.0
cycle: 17.0; nbPreys: 151; minEnergyPreys: 0.1010000000000003; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.4929999999999999; maxSizePredators: 1.0
cycle: 18.0; nbPreys: 148; minEnergyPreys: 0.051000000000000295; maxSizePreys: 1.0; nbPredators: 20; minEnergyPredators: 0.7799999999999998; maxSizePredators: 1.0
cycle: 19.0; nbPreys: 149; minEnergyPreys: 0.0010000000000002923; maxSizePreys: 1.0; nbPredators: 23; minEnergyPredators: 0.3333333333333333; maxSizePredators: 1.0
cycle: 20.0; nbPreys: 141; minEnergyPreys: 0.09500000000000024; maxSizePreys: 1.0; nbPredators: 23; minEnergyPredators: 0.3133333333333333; maxSizePredators: 1.0
cycle: 21.0; nbPreys: 144; minEnergyPreys: 0.045000000000000234; maxSizePreys: 1.0; nbPredators: 23; minEnergyPredators: 0.2933333333333333; maxSizePredators: 1.0
cycle: 22.0; nbPreys: 144; minEnergyPreys: 0.08333333333333336; maxSizePreys: 1.0; nbPredators: 23; minEnergyPredators: 0.27333333333333326; maxSizePredators: 1.0
cycle: 23.0; nbPreys: 145; minEnergyPreys: 0.033333333333333354; maxSizePreys: 1.0; nbPredators: 23; minEnergyPredators: 0.25333333333333324; maxSizePredators: 1.0
